"Companies","Categorization","Sector","TotalBoardMembers","HausaFulani","Igbo","Yoruba","Minority","NonNative","Years","Employees","OperatingExpenses","TotalExpenses","Sales","Cash","TotalAssets","AssetTurnover","GroupNotgroup","prop_HF_board","prop_I_board","prop_Y_board","prop_M_board","prop_NN_board","homogeneity","diversity"
37,2,3,6,0,2,4,0,0,29,597,2320058,2928756,7090060,56613,7420026,0.955530344502836,1,0,0.3333333333333333,0.6666666666666666,0,0,0.6666666666666666,"0"
38,2,3,14,1,0,4,9,0,32,572,4299418,4668365,5152448,246281,18072656,0.28509633559118264,2,0.07142857142857142,0,0.2857142857142857,0.6428571428571429,0,0.6428571428571429,"0"
39,1,2,16,3,2,2,2,7,28,14409,136586000,216694000,610247000,55787000,1823984000,0.3345681760366319,1,0.1875,0.125,0.125,0.125,0.4375,0.4375,"1"
40,2,2,9,4,1,2,1,1,15,1592,6780835,17778128,158104577,23663403,198129122,0.7979875719632977,1,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.4444444444444444,"1"
43,2,3,5,0,1,3,1,0,17,220,1965282,2125886,25193379,1053525,6883345,3.6600488570600485,2,0,0.2,0.6,0.2,0,0.6,"0"
44,2,3,13,1,0,1,2,9,35,14878,1113731,1382153,1411998,2559766,23641184,0.05972619645445846,1,0.07692307692307693,0,0.07692307692307693,0.15384615384615385,0.6923076923076923,0.6923076923076923,"0"
46,2,1,12,3,2,1,6,0,40,100,738903,738903,70,390,4794390,1.460039754796752e-5,1,0.25,0.16666666666666666,0.08333333333333333,0.5,0,0.5,"1"
47,2,1,9,2,1,6,0,0,31,75,3266978,5259133,229274785,122651,28310175,8.098670707616607,2,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,0,0.6666666666666666,"0"
49,1,3,11,1,2,8,0,0,8,9014,4508000,4520000,2159000,5706000,276176000,0.007817478709228897,1,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0.7272727272727273,"0"
50,2,3,10,0,0,7,2,1,8,3610,633488,646521,3501949,19482,134019820,0.026130082848939806,1,0,0,0.7,0.2,0.1,0.7,"0"
51,2,3,15,2,8,2,3,0,33,2933,81992000,83920000,215514000,259915000,2114037000,0.10194428952757213,1,0.13333333333333333,0.5333333333333333,0.13333333333333333,0.2,0,0.5333333333333333,"1"
52,2,3,8,1,1,5,1,0,25,397,3918795,5822371,14062015,242685,20364351,0.6905211464878012,2,0.125,0.125,0.625,0.125,0,0.625,"0"
53,2,2,14,2,0,6,2,4,60,3566,19203128,36215710,370205529,8459148,314058187,1.1787800615431814,1,0.14285714285714285,0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,"1"
56,2,3,8,1,1,3,0,3,49,125,5252407,5504634,20760320,3710764,18684558,1.11109505507168,1,0.125,0.125,0.375,0,0.375,0.375,"1"
57,2,3,7,1,0,2,4,0,14,98,1897628,2383304,2458400,125084,5356216,0.4589807431216366,2,0.14285714285714285,0,0.2857142857142857,0.5714285714285714,0,0.5714285714285714,"0"
59,2,3,8,0,3,5,0,0,27,105,1359933,1363395,955718,100514,1940702,0.49245994490653383,2,0,0.375,0.625,0,0,0.625,"0"
60,2,2,10,0,0,0,0,10,80,2455,574700,645400,4595000,77300,5426700,0.8467392706433007,1,0,0,0,0,1,1,"0"
61,2,3,7,2,2,2,1,0,0,3509,117289.60399999999,133594.705,180564.72,360881.347,2839256.527,0.06359577526120451,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0,0.2857142857142857,"1"
62,2,3,12,2,6,3,1,0,62,80,2326758,2334514,1176095,680541,3605444,0.32619976901596587,2,0.16666666666666666,0.5,0.25,0.08333333333333333,0,0.5,"1"
63,2,2,15,2,2,2,3,6,70,780,31944669,36177876,131498373,-1788453,160792627,0.8178134498667031,2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.4,0.4,"1"
64,2,2,11,0,1,7,0,3,35,785,8344345,12192275,74409113,10666933,137505112,0.5411370669622814,2,0,0.09090909090909091,0.6363636363636364,0,0.2727272727272727,0.6363636363636364,"0"
65,2,3,8,1,0,3,4,0,48,467,1275898,2192270,7327284,3224817,25685465,0.28526966515887486,1,0.125,0,0.375,0.5,0,0.5,"1"
66,2,1,12,0,0,0,0,12,61,79886,8132000,8422000,28228000,2700000,86612000,0.3259132683692791,1,0,0,0,0,1,1,"0"
67,2,3,8,1,1,5,0,1,18,95,740092.782,784337.229,1383270.228,1085506.508,10644545.285,0.1299510867739241,1,0.125,0.125,0.625,0,0.125,0.625,"0"
68,2,2,15,0,3,5,1,6,49,2231,46192431,61376164,132351500,31806209,365146533,0.362461335488019,1,0,0.2,0.3333333333333333,0.06666666666666667,0.4,0.4,"1"
69,2,3,5,1,1,2,1,0,51,68,919401,928217,403098,136093,8636224,0.046675259928413156,1,0.2,0.2,0.4,0.2,0,0.4,"1"
70,2,3,14,12,0,2,0,0,17,1054,8550945,8883713,10660963,53541389,167273000,0.06373391402079236,2,0.8571428571428571,0,0.14285714285714285,0,0,0.8571428571428571,"0"
71,2,1,8,1,1,5,1,0,26,107,771585,2049602,85853,1029,25620330,0.0033509716697638164,1,0.125,0.125,0.625,0.125,0,0.625,"0"
73,4,3,8,0,0,6,2,0,48,34,118111,119857,349309,13485,288473.051,1.2108895399036772,2,0,0,0.75,0.25,0,0.75,"0"
74,2,2,13,3,2,3,0,5,50,10249,28077201,39742033,243488979,7271421,272877007,0.8923030257364264,1,0.23076923076923078,0.15384615384615385,0.23076923076923078,0,0.38461538461538464,0.38461538461538464,"1"
75,1,2,16,2,0,6,1,7,61,1023,22695398,46080075,188407004,23987649,500081653,0.37675248205916484,1,0.125,0,0.375,0.0625,0.4375,0.4375,"1"
76,2,3,7,1,0,6,0,0,41,155,4232552,7234787,9341528,4355756,18510279,0.5046670555316859,1,0.14285714285714285,0,0.8571428571428571,0,0,0.8571428571428571,"0"
77,2,3,8,3,3,2,0,0,59,213,1222922,1461713,3479474,609293,55474666,0.0627218557746702,2,0.375,0.375,0.25,0,0,0.375,"1"
78,2,3,11,1,0,4,5,1,29,180,5644120,5820814,6518964,1609222,28704432,0.227106531841494,2,0.09090909090909091,0,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.45454545454545453,"1"
79,2,1,6,0,0,4,2,0,57,75,643181,752760,9955222,60672,4033910,2.4678840132774407,2,0,0,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,"0"
80,3,3,10,1,0,9,0,0,21,68,421348.24399999995,426561.92199999996,502487.738,1380022.184,4594991.715,0.10935552644407762,2,0.1,0,0.9,0,0,0.9,"0"
81,2,3,10,2,4,3,1,0,76,310,1799325,2102933,7686625,457234,9473928,0.8113450936084801,1,0.2,0.4,0.3,0.1,0,0.4,"1"
82,3,2,5,0,4,1,0,0,16,86,85860.735,120865.906,643380.59,231877.558,722521.934,0.8904651329242552,2,0,0.8,0.2,0,0,0.8,"0"
84,2,2,7,0,0,5,1,1,60,91,531158,555623,1106116,1479730,3720214,0.29732590652043134,1,0,0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.7142857142857143,"0"
85,2,3,6,0,0,5,1,0,65,19,133317,133748,86112,1083,447738,0.19232676252629885,2,0,0,0.8333333333333334,0.16666666666666666,0,0.8333333333333334,"0"
86,2,1,8,1,4,1,2,0,51,104,6197390,7139611,64909370,1052880,44209648,1.4682172995360652,2,0.125,0.5,0.125,0.25,0,0.5,"1"
87,1,3,16,3,2,2,2,7,20,1870,767700310,982410797,1167418643,114301003,1533441151,0.7613064526399944,1,0.1875,0.125,0.125,0.125,0.4375,0.4375,"1"
89,2,1,5,2,0,2,0,1,18,7,209869,329892,5407,4370,4362867,0.0012393226747457577,2,0.4,0,0.4,0,0.2,0.4,"1"
90,2,3,9,2,1,5,1,0,25,176,3042839,3248506,8366641,2146927,22991158,0.3639068984694029,1,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.1111111111111111,0,0.5555555555555556,"0"
91,2,2,11,6,0,2,0,3,49,64,317339,900187,4149917,422783,4992912,0.8311616547617903,2,0.5454545454545454,0,0.18181818181818182,0,0.2727272727272727,0.5454545454545454,"1"
92,2,2,10,5,1,2,0,2,47,566,2952141,4098788,27487788,3660734,30270429,0.9080739490015156,2,0.5,0.1,0.2,0,0.2,0.5,"1"
93,2,3,6,0,1,3,0,2,71,119,1000778,1939222,6067675,3314554,8425641,0.7201440222767621,2,0,0.16666666666666666,0.5,0,0.3333333333333333,0.5,"1"
94,2,3,12,0,9,2,1,0,63,166,784897,978131,2371311,73792,2753800,0.8611050185198634,2,0,0.75,0.16666666666666666,0.08333333333333333,0,0.75,"0"
95,2,3,11,1,2,2,6,0,50,214,12973861,12992840,19759872,8095230,25660545,0.7700488044973324,1,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.5454545454545454,0,0.5454545454545454,"1"
96,2,2,8,0,1,2,1,4,51,2219,47077581,74785386,284035255,4242013,193374314,1.4688365229313756,2,0,0.125,0.25,0.125,0.5,0.5,"1"
97,2,3,7,2,1,1,3,0,58,258,6043016,6288984,1846499,183454,22689417,0.08138150927368473,1,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,0,0.42857142857142855,"1"
99,2,3,11,1,1,9,0,0,15,1608,2357386,3261021,9570197,-97676,14559302,0.6573252618841205,1,0.09090909090909091,0.09090909090909091,0.8181818181818182,0,0,0.8181818181818182,"0"
100,2,2,11,0,2,3,1,5,74,3102,96996221,116406830,323002120,6358606,382262869,0.8449738287293606,1,0,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.45454545454545453,0.45454545454545453,"1"
102,2,3,13,2,3,7,1,0,60,286,2760945,7068184,4863461,4309300,22538376,0.21578577799926668,1,0.15384615384615385,0.23076923076923078,0.5384615384615384,0.07692307692307693,0,0.5384615384615384,"1"
103,2,2,14,1,1,1,7,4,15,546,6961412,25149986,21418883,-2627441,196627943,0.10893102309471854,1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.5,0.2857142857142857,0.5,"1"
104,2,3,11,5,0,2,4,0,27,349,3185899,3397471,4447812,3128610,19583717,0.22711786531637482,2,0.45454545454545453,0,0.18181818181818182,0.36363636363636365,0,0.45454545454545453,"1"
105,2,1,13,3,1,6,3,0,51,60,51109262,73363371,424734190,1266353,223142393,1.903422224211784,1,0.23076923076923078,0.07692307692307693,0.46153846153846156,0.23076923076923078,0,0.46153846153846156,"1"
106,2,1,11,0,0,1,3,7,41,474,14260729,16923678,18867271,2684061,43595792,0.43277734236368504,2,0,0,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.6363636363636364,"0"
108,2,2,7,0,0,0,0,7,72,3986,177700000,200700000,689400000,53500000,947200000,0.7278293918918919,2,0,0,0,0,1,1,"0"
109,2,3,8,0,2,2,4,0,51,103,532398,542272,484574,6162,2197402,0.22052132472801972,2,0,0.25,0.25,0.5,0,0.5,"1"
110,0,2,7,1,1,5,0,0,0,77,859552,905721,2610178,279749,2254911,1.1575525597240868,2,0.14285714285714285,0.14285714285714285,0.7142857142857143,0,0,0.7142857142857143,"0"
112,2,1,10,0,2,1,3,4,29,659,6813620,11168266,19723641,-1158300,71009830,0.2777593045920544,2,0,0.2,0.1,0.3,0.4,0.4,"1"
113,2,3,10,0,0,3,0,7,50,92,3977465,4060752,6128662,788080,13179445,0.4650166983511066,2,0,0,0.3,0,0.7,0.7,"0"
114,2,3,8,1,1,6,0,0,63,215,1407789,2892043,6261101,-15712766,8475993,0.738686428834946,1,0.125,0.125,0.75,0,0,0.75,"0"
115,4,1,7,1,2,3,1,0,38,13,225857,240662,4419250,545206,2033861,2.1728377701327672,2,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0,0.42857142857142855,"1"
116,2,3,8,5,1,1,1,0,28,274,1354087,1597913,5849869,395797,4379000,1.3358915277460608,1,0.625,0.125,0.125,0.125,0,0.625,"0"
117,2,3,7,2,0,3,2,0,27,112,2378318,2567272,3946287,2219991,8536393,0.46228975165506087,1,0.2857142857142857,0,0.42857142857142855,0.2857142857142857,0,0.42857142857142855,"1"
120,2,3,11,2,5,2,1,1,99,161,379826,422792,0,-208529,9195662,0,1,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.45454545454545453,"1"
121,2,2,10,0,0,0,1,9,51,97,1117860,1218552,2852163,-507830,13541649,0.21062154247241233,1,0,0,0,0.1,0.9,0.9,"0"
123,1,1,12,0,4,0,4,5,11,463,36586000,55819000,214157000,100184000,1004233000,0.2132542945710806,2,0,0.3333333333333333,0,0.3333333333333333,0.4166666666666667,0.4166666666666667,"1"
124,2,2,5,0,0,4,1,0,0,NA,62049,62049,224164,53605,2719889,0.08241659861854657,2,0,0,0.8,0.2,0,0.8,"0"
125,2,3,11,1,3,7,0,0,11,1537,2580114,2938539,7665990,1591829,23199569,0.33043674216533936,2,0.09090909090909091,0.2727272727272727,0.6363636363636364,0,0,0.6363636363636364,"0"
127,2,3,10,1,4,3,2,0,40,176,6698088,6862898,10879656,7151430,13418426,0.810799716747702,2,0.1,0.4,0.3,0.2,0,0.4,"1"
129,2,3,10,0,4,4,0,2,8,2936,8818000,8818000,37882000,36240000,126886000,0.29855145563734375,1,0,0.4,0.4,0,0.2,0.4,"1"
131,2,3,14,1,1,7,3,2,60,2401,71080000,71150000,124535000,103294000,1165509000,0.1068503117522044,1,0.07142857142857142,0.07142857142857142,0.5,0.21428571428571427,0.14285714285714285,0.5,"1"
132,2,3,9,2,1,4,0,2,36,100,1541890,1826415,2240854,2315338,10147535,0.22082742262037036,1,0.2222222222222222,0.1111111111111111,0.4444444444444444,0,0.2222222222222222,0.4444444444444444,"1"
133,2,3,7,0,0,7,0,0,23,352,961692.6129999999,1067343.883,1264625.326,27623.462,3335121.2630000003,0.3791842113897973,2,0,0,1,0,0,1,"0"
